experiment_id,scheduled_order,task_id,configuration_id,strategy,repetition,run_id,validity,classification,replacement_for_run_id,official_success,official_tests_passed,official_tests_total,task_wall_time_ms,strategy_wall_time_ms,summed_provider_execution_time_ms,provider_invocations,provider_tool_calls,input_tokens,output_tokens,total_tokens,files_modified,lines_added,lines_removed,patch_bytes,corrections,correction_changed_patch,correction_improved_visible_tests,candidate_count,candidate_failures,candidate_patch_sizes,peak_concurrent_provider_processes,concurrency_factor,selected_candidate,provider_session_ids,estimated_provider_cost
strategy-study-v1,1,transaction_transition,single-codex,single,1,strategy-study-v1-001-a1,valid,benchmark_failure,,False,1,2,55323.17579200026,54598.23291702196,54526.6191670089,1,6,72951,1879,74830,1,11,4,655,,,,,0,[],1,,,"[""01a0b6c5-b5ae-76a3-a248-0ec99ab5eef4""]",
strategy-study-v1,2,transaction_transition,staged-codex,planner_implementer_reviewer,1,strategy-study-v1-002-a1,valid,benchmark_failure,,False,1,2,114966.8082499993,114235.68562499713,112727.6850840426,3,10,157617,3832,161449,2,36,7,1535,0,,,1,0,[1535],1,0.986799216613407,A,"[""01a0b6c6-c1df-7133-a39f-4dfbbd8a40a2"", ""01a0b6c7-5c58-7973-8702-5bedac3a8b60"", ""01a0b6c8-2451-7061-82f9-1c384131dcd8""]",
strategy-study-v1,3,transaction_transition,parallel2-codex,parallel_implementers,1,strategy-study-v1-003-a1,valid,benchmark_failure,,,,,120288.88920898316,120037.20979200443,174894.8057499947,4,15,,,,0,0,0,0,0,,,2,0,"[1256, 1248]",2,1.4570049241651424,,"[""01a0b6c8-84a5-7b31-9677-c06357220c55"", ""01a0b6c9-5010-7911-9d0d-50fb0ef0e184"", ""01a0b6c9-4f46-7233-b186-7cac7d801315"", ""01a0b6ca-470f-72c0-9762-1c6954a54c62""]",
strategy-study-v1,4,lock_inventory,staged-codex,planner_implementer_reviewer,1,strategy-study-v1-004-a1,valid,benchmark_failure,,False,1,2,118683.0319170258,117907.42641699035,116257.3277070187,3,11,171724,4044,175768,1,16,6,950,0,,,1,0,[950],1,0.9860051333481241,A,"[""01a0b6ca-598c-74b0-8eed-31337ab02157"", ""01a0b6cb-136f-7bf0-a8dd-9434b68c7546"", ""01a0b6cb-bde9-78f0-b0c1-437ce3671ba8""]",
strategy-study-v1,5,lock_inventory,parallel2-codex,parallel_implementers,1,strategy-study-v1-005-a1,valid,benchmark_failure,,False,1,2,116000.93533302424,115249.50316699687,150158.7712499895,4,15,229891,4538,234429,1,20,6,1011,0,,,2,0,"[944, 1011]",2,1.302901679605586,A,"[""01a0b6cc-2985-71f2-9b4a-0a0ba0655bee"", ""01a0b6cd-1c11-7ab2-8709-f58f5cd1be48"", ""01a0b6cd-1c11-7823-b0f5-9112711cb676"", ""01a0b6cd-af74-7b23-9038-07b31b4f63a4""]",
strategy-study-v1,6,lock_inventory,single-codex,single,1,strategy-study-v1-006-a1,valid,benchmark_failure,,False,1,2,68873.0151669588,68094.6990000084,68017.939708021,1,8,115730,2559,118289,1,21,6,1047,,,,,0,[],1,,,"[""01a0b6cd-edf2-7051-ab6e-2613707a0abb""]",
strategy-study-v1,7,cursor_pagination,staged-codex,planner_implementer_reviewer,1,strategy-study-v1-007-a1,valid,benchmark_failure,,,,,120233.83849998936,119986.46208300488,118531.66437504115,3,9,,,,0,0,0,0,0,,,1,0,[780],1,0.9878753179091377,,"[""01a0b6ce-fc32-7a53-9a6a-6d0d9ffbe507"", ""01a0b6cf-6bfa-7ff0-8215-7fd18542c30b""]",
strategy-study-v1,8,cursor_pagination,parallel2-codex,parallel_implementers,1,strategy-study-v1-008-a1,valid,benchmark_failure,,False,1,2,103405.49237496452,102663.324833964,131854.64450001018,4,13,205381,3871,209252,1,6,3,818,0,,,2,0,"[780, 818]",2,1.2843402910752881,B,"[""01a0b6d0-d192-7522-bdc8-4fabfbdb58ed"", ""01a0b6d1-6e0a-7342-8268-ede3f97bb9b5"", ""01a0b6d1-6d78-7a60-ac1f-5e582d9faee1"", ""01a0b6d2-20b9-7561-820b-5a37aeddfac8""]",
strategy-study-v1,9,cursor_pagination,single-codex,single,1,strategy-study-v1-009-a1,valid,benchmark_failure,,False,1,2,35034.68045894988,34293.06683305185,34232.171792013105,1,5,75218,1182,76400,1,3,3,780,,,,,0,[],1,,,"[""01a0b6d2-671e-7363-bb4d-e7876419f306""]",
strategy-study-v1,10,cache_invalidation,parallel2-codex,parallel_implementers,1,strategy-study-v1-010-a1,valid,benchmark_failure,,,,,120286.24062502058,120035.83154198714,149316.73870806117,4,16,,,,0,0,0,0,0,,,2,0,"[596, 596]",2,1.2439347217404155,,"[""01a0b6d2-f062-7382-a33c-a57dd0a62369"", ""01a0b6d3-9c20-7051-b3d3-1a3fc05bd39c"", ""01a0b6d3-9c6b-7280-bdff-3d5076d36ded"", ""01a0b6d4-807c-70a0-8ccd-d5af285ff250""]",
