scheduled_order,task_id,configuration_id,repetition,status,valid_run_id,attempt_count
1,transaction_transition,single-codex,1,completed,strategy-study-v1-001-a1,1
2,transaction_transition,staged-codex,1,completed,strategy-study-v1-002-a1,1
3,transaction_transition,parallel2-codex,1,completed,strategy-study-v1-003-a1,1
4,lock_inventory,staged-codex,1,completed,strategy-study-v1-004-a1,1
5,lock_inventory,parallel2-codex,1,completed,strategy-study-v1-005-a1,1
6,lock_inventory,single-codex,1,completed,strategy-study-v1-006-a1,1
7,cursor_pagination,staged-codex,1,completed,strategy-study-v1-007-a1,1
8,cursor_pagination,parallel2-codex,1,completed,strategy-study-v1-008-a1,1
9,cursor_pagination,single-codex,1,completed,strategy-study-v1-009-a1,1
10,cache_invalidation,parallel2-codex,1,completed,strategy-study-v1-010-a1,1
11,cache_invalidation,staged-codex,1,completed,strategy-study-v1-011-a1,1
12,cache_invalidation,single-codex,1,completed,strategy-study-v1-012-a1,1
13,js_ttl_cache,parallel2-codex,1,completed,strategy-study-v1-013-a1,1
14,js_ttl_cache,staged-codex,1,completed,strategy-study-v1-014-a1,1
15,js_ttl_cache,single-codex,1,completed,strategy-study-v1-015-a1,1
16,incorrect_api_response,parallel2-codex,1,completed,strategy-study-v1-016-a1,1
17,incorrect_api_response,staged-codex,1,completed,strategy-study-v1-017-a1,1
18,incorrect_api_response,single-codex,1,completed,strategy-study-v1-018-a1,1
19,resource_cleanup,single-codex,1,completed,strategy-study-v1-019-a1,1
20,resource_cleanup,staged-codex,1,completed,strategy-study-v1-020-a1,1
21,resource_cleanup,parallel2-codex,1,completed,strategy-study-v1-021-a1,1
22,js_batch_dedupe,staged-codex,1,completed,strategy-study-v1-022-a1,1
23,js_batch_dedupe,single-codex,1,completed,strategy-study-v1-023-a1,1
24,js_batch_dedupe,parallel2-codex,1,completed,strategy-study-v1-024-a1,1
25,bounded_retry,single-codex,1,completed,strategy-study-v1-025-a1,1
26,bounded_retry,staged-codex,1,completed,strategy-study-v1-026-a1,1
27,bounded_retry,parallel2-codex,1,completed,strategy-study-v1-027-a1,1
28,request_validation,staged-codex,1,completed,strategy-study-v1-028-a1,1
29,request_validation,single-codex,1,completed,strategy-study-v1-029-a1,1
30,request_validation,parallel2-codex,1,completed,strategy-study-v1-030-a1,1
31,cross_file_permissions,staged-codex,1,completed,strategy-study-v1-031-a1,1
32,cross_file_permissions,single-codex,1,completed,strategy-study-v1-032-a1,1
33,cross_file_permissions,parallel2-codex,1,completed,strategy-study-v1-033-a1,1
34,extract_transport_refactor,staged-codex,1,completed,strategy-study-v1-034-a1,1
35,extract_transport_refactor,parallel2-codex,1,completed,strategy-study-v1-035-a1,1
36,extract_transport_refactor,single-codex,1,completed,strategy-study-v1-036-a2,2
37,extract_transport_refactor,staged-codex,2,completed,strategy-study-v1-037-a1,1
38,extract_transport_refactor,single-codex,2,completed,strategy-study-v1-038-a1,1
39,extract_transport_refactor,parallel2-codex,2,completed,strategy-study-v1-039-a1,2
40,js_ttl_cache,parallel2-codex,2,completed,strategy-study-v1-040-a1,1
41,js_ttl_cache,staged-codex,2,completed,strategy-study-v1-041-a1,1
42,js_ttl_cache,single-codex,2,completed,strategy-study-v1-042-a1,1
43,bounded_retry,staged-codex,2,completed,strategy-study-v1-043-a1,1
44,bounded_retry,parallel2-codex,2,completed,strategy-study-v1-044-a1,1
45,bounded_retry,single-codex,2,completed,strategy-study-v1-045-a1,1
46,incorrect_api_response,staged-codex,2,completed,strategy-study-v1-046-a1,1
47,incorrect_api_response,parallel2-codex,2,completed,strategy-study-v1-047-a1,1
48,incorrect_api_response,single-codex,2,completed,strategy-study-v1-048-a1,1
49,js_batch_dedupe,staged-codex,2,completed,strategy-study-v1-049-a1,1
50,js_batch_dedupe,parallel2-codex,2,completed,strategy-study-v1-050-a1,1
51,js_batch_dedupe,single-codex,2,completed,strategy-study-v1-051-a1,1
52,lock_inventory,staged-codex,2,completed,strategy-study-v1-052-a1,1
53,lock_inventory,parallel2-codex,2,completed,strategy-study-v1-053-a1,1
54,lock_inventory,single-codex,2,completed,strategy-study-v1-054-a1,1
55,transaction_transition,parallel2-codex,2,completed,strategy-study-v1-055-a1,1
56,transaction_transition,staged-codex,2,completed,strategy-study-v1-056-a1,1
57,transaction_transition,single-codex,2,completed,strategy-study-v1-057-a1,1
58,cache_invalidation,parallel2-codex,2,completed,strategy-study-v1-058-a1,1
59,cache_invalidation,staged-codex,2,completed,strategy-study-v1-059-a1,1
60,cache_invalidation,single-codex,2,completed,strategy-study-v1-060-a1,1
61,cross_file_permissions,single-codex,2,completed,strategy-study-v1-061-a1,1
62,cross_file_permissions,staged-codex,2,completed,strategy-study-v1-062-a1,1
